N1C3W4_T.BPP|150|[100, 98, 98, 97, 97, 97, 96, 94, 93, 90, 89, 88, 88, 85, 84, 84, 83, 83, 81, 80, 78, 76, 75, 73, 73, 71, 71, 70, 69, 66, 65, 64, 64, 63, 60, 60, 57, 56, 54, 54, 53, 53, 48, 43, 42, 38, 34, 32, 31, 30]|50|3528|5|20211230 052226 110872|20211230 052226 110905||34 bins||
N1C3W4_T.BPP|150|[100, 98, 98, 97, 97, 97, 96, 94, 93, 90, 89, 88, 88, 85, 84, 84, 83, 83, 81, 80, 78, 76, 75, 73, 73, 71, 71, 70, 69, 66, 65, 64, 64, 63, 60, 60, 57, 56, 54, 54, 53, 53, 48, 43, 42, 38, 34, 32, 31, 30]|50|3528|5|20211230 052543 877249|20211230 052543 877280||34 bins||
N1C1W4_I.BPP|100|[95, 92, 91, 91, 90, 88, 87, 87, 86, 86, 85, 81, 79, 76, 76, 76, 72, 72, 69, 65, 63, 63, 63, 63, 61, 61, 59, 59, 58, 56, 54, 54, 52, 51, 50, 47, 47, 45, 45, 45, 43, 40, 40, 36, 35, 35, 34, 32, 32, 31]|50|3098|5|20211230 053032 259477|20211230 053032 259506||41 bins||
N1C1W2_S.BPP|100|[99, 99, 98, 96, 95, 93, 92, 91, 91, 91, 88, 86, 84, 84, 84, 80, 80, 79, 78, 77, 76, 76, 73, 72, 71, 71, 69, 68, 67, 64, 64, 61, 59, 58, 54, 52, 49, 49, 41, 40, 38, 31, 31, 29, 28, 27, 27, 27, 22, 20]|50|3279|5|20211230 053032 260141|20211230 053032 260157||40 bins||
N1C2W1_P.BPP|120|[97, 96, 94, 94, 93, 80, 79, 78, 77, 77, 76, 76, 72, 72, 71, 70, 67, 67, 63, 60, 59, 55, 54, 52, 51, 49, 48, 47, 46, 43, 34, 32, 28, 27, 27, 26, 25, 23, 22, 20, 17, 14, 13, 12, 12, 10, 5, 4, 3, 2]|50|2419|5|20211230 053032 260833|20211230 053032 260849||27 bins||
N1C1W4_L.BPP|100|[100, 99, 98, 98, 97, 96, 95, 91, 91, 90, 88, 88, 87, 86, 81, 80, 79, 76, 75, 67, 66, 65, 65, 64, 60, 59, 59, 58, 57, 57, 55, 53, 53, 50, 49, 49, 49, 46, 44, 43, 42, 38, 37, 37, 36, 35, 34, 34, 31, 30]|50|3217|5|20211230 053032 261326|20211230 053032 261342||40 bins||
N1C2W2_M.BPP|120|[100, 99, 99, 99, 97, 95, 95, 94, 93, 92, 92, 88, 86, 86, 86, 84, 79, 78, 78, 77, 76, 69, 68, 65, 61, 60, 58, 57, 57, 55, 54, 54, 53, 53, 52, 52, 51, 48, 47, 43, 43, 40, 39, 38, 36, 34, 33, 28, 27, 25]|50|3273|5|20211230 053032 261886|20211230 053032 261901||35 bins||
N1C3W2_I.BPP|150|[96, 95, 91, 89, 87, 86, 85, 81, 78, 78, 68, 67, 66, 66, 65, 62, 61, 60, 60, 59, 58, 56, 54, 51, 50, 50, 49, 49, 49, 48, 47, 46, 46, 46, 45, 45, 44, 41, 41, 41, 40, 36, 35, 34, 33, 32, 31, 27, 26, 26]|50|2776|5|20211230 053032 262424|20211230 053032 262439||24 bins||
N1C3W1_D.BPP|150|[99, 96, 95, 95, 92, 91, 90, 86, 86, 86, 85, 80, 77, 77, 76, 76, 71, 70, 70, 69, 68, 64, 64, 61, 60, 60, 56, 55, 53, 52, 50, 48, 44, 41, 40, 38, 38, 37, 35, 21, 19, 14, 12, 9, 6, 6, 6, 4, 3, 2]|50|2733|5|20211230 053032 262904|20211230 053032 262918||25 bins||
N1C1W2_E.BPP|100|[99, 96, 94, 94, 90, 90, 90, 90, 87, 86, 85, 85, 84, 84, 84, 84, 84, 83, 81, 81, 79, 71, 71, 70, 65, 65, 65, 63, 62, 59, 51, 51, 50, 49, 49, 49, 47, 45, 44, 43, 41, 35, 35, 33, 31, 27, 23, 23, 22, 22]|50|3191|5|20211230 053032 263376|20211230 053032 263391||39 bins||
N1C1W4_H.BPP|100|[100, 100, 99, 98, 98, 97, 96, 92, 91, 91, 91, 87, 86, 85, 83, 83, 81, 79, 78, 78, 75, 75, 75, 74, 73, 73, 70, 66, 66, 65, 64, 64, 63, 62, 61, 60, 59, 56, 55, 54, 46, 45, 44, 41, 37, 35, 34, 32, 31, 30]|50|3478|5|20211230 053032 263961|20211230 053032 263976||43 bins||
N1C2W4_I.BPP|120|[97, 92, 91, 88, 87, 86, 85, 85, 84, 84, 84, 83, 80, 80, 79, 78, 76, 76, 76, 76, 75, 75, 75, 74, 74, 74, 72, 71, 71, 70, 67, 63, 59, 59, 57, 55, 55, 54, 50, 49, 44, 42, 40, 38, 37, 35, 31, 31, 30, 30]|50|3324|5|20211230 053032 264522|20211230 053032 264541||39 bins||
N1C2W2_A.BPP|120|[100, 97, 97, 95, 93, 87, 87, 86, 82, 82, 78, 76, 76, 75, 74, 71, 68, 66, 65, 63, 59, 59, 58, 58, 57, 52, 51, 46, 46, 46, 43, 42, 42, 41, 41, 41, 38, 37, 36, 36, 32, 32, 31, 30, 27, 25, 22, 22, 22, 21]|50|2811|5|20211230 053032 265081|20211230 053032 265096||31 bins||
N1C2W2_B.BPP|120|[100, 98, 98, 97, 95, 94, 90, 90, 89, 86, 85, 83, 81, 79, 79, 74, 72, 72, 71, 68, 67, 65, 64, 64, 62, 59, 58, 56, 55, 55, 54, 51, 51, 50, 47, 46, 45, 44, 43, 40, 36, 34, 33, 31, 29, 28, 27, 27, 26, 21]|50|3069|5|20211230 053032 265569|20211230 053032 265583||35 bins||
N1C1W1_E.BPP|100|[91, 88, 88, 87, 87, 86, 86, 85, 85, 84, 83, 80, 79, 78, 77, 70, 70, 68, 67, 66, 59, 52, 49, 48, 47, 47, 44, 42, 38, 37, 37, 34, 34, 33, 31, 29, 27, 24, 21, 17, 16, 16, 15, 14, 8, 6, 5, 4, 2, 2]|50|2443|5|20211230 053032 266091|20211230 053032 266106||30 bins||
